,tweets
0,I will be interviewed by @SeanHannity tonight at 9:00 P.M. Eastern on @FoxNews. Enjoy!
1,Landing in Wisconsin. Launching big new ship contract!
2,LAW &amp; ORDER!
3,"Told that @NYCMayor Bill de Blasio wants to paint the fabled &amp; beautiful Fifth Avenue, right in front of Trump Tower/Tiffany, with a big yellow Black Lives Matter sign. “Pigs in a Blanket, Fry ‘Em Like Bacon”, referring to killing Police, is their chant. NYC Police are furious!"
4,"Black Lives Matter leader states, “If U.S. doesn’t give us what we want, then we will burn down this system and replace it”. This is Treason, Sedition, Insurrection!"
5,The Obama/Biden Administration is the most CORRUPT in HISTORY! https://t.co/kWa3SZnqPY
6,"When are the thugs, looters, and anarchists moving out of the so-called “Autonomous Zone” in Seattle? Get going!"
7,"The number of ChinaVirus cases goes up, because of GREAT TESTING, while the number of deaths (mortality rate), goes way down. The Fake News doesn’t like telling you that!"
8,"Failed presidential candidate (thank you President Trump!), Carly Fiorina, said she will be voting for Corrupt Joe Biden. She lost so badly to me, twice in one campaign, that she should be voting for Joe. No complaints!!!"
9,The Fake News and phony Fake Suppression Polls have never been worse. The Lamestream Media has gone CRAZY!
10,"A @FoxNews commentator just ripped me with lies, with nobody defending. They talked about the “friendly” protesters (they set the Church on fire the day before. They were anything but friendly), and how I stood and held the Bible upside down - it wasn’t upside down. @edhenry"
11,"“How Trump Is Making Black America Great Again, The Untold Story Of Black Advancement in the Era of Trump.” By Horace Cooper  A great new book!"
12,It was my great honor to free up 5000 square miles of ocean off the coast of Maine. Enjoy!
13,"....the good and the bad. It is important for us to understand and remember, even in turbulent and difficult times, and learn from them. Knowledge comes from the most unusual of places!"
14,"Very sad to see States allowing roving gangs of wise guys, anarchists &amp; looters, many of them having no idea what they are doing, indiscriminately ripping down our statues and monuments to the past. Some are great works of art, but all represent our History &amp; Heritage, both...."
15,"Pres. Obama destroyed the lobster and fishing industry in Maine. Now it’s back, bigger and better than anyone ever thought possible. Enjoy your “lobstering” and fishing! Make lots of money!"
16,"Biden failed with China. They took us to the cleaners! I got $Billions out of China, and gave much of it to our targeted farmers!"
17,https://t.co/uVyINiSqH0
18,LAW &amp; ORDER!
19,"Is James Comey and his band of Dirty Cops going to apologize to General Michael Flynn (and many others) for what they have done to ruin his life? What about Robert Mueller and his Angry Democrat Cronies - Are they going to say, SO SORRY? And what about Obama &amp; Biden?"
20,Great!  Appeals Court Upholds Justice Departments Request To Drop Criminal Case Against General Michael Flynn!
21,A GREAT DAY IN ARIZONA! https://t.co/jsohSb5QF6
22,"It is ashame that Congress doesn’t do something about the lowlifes that burn the American Flag. It should be stopped, and now!"
23,"Tomorrow @SenatorTimScott and the Senate Republicans have a Great Bill, the #JUSTICEAct, up for a vote. Will be great for both people of color and police - in fact, has major police support. Rebuilding trust and keeping communities safe! Hope to sign it into law ASAP!"
24,"BIG VICTORY for patients – Federal court UPHOLDS hospital price transparency. Patients deserve to know the price of care BEFORE they enter the hospital. Because of my action, they will. This may very well be bigger than healthcare itself. Congratulations America!"
25,Cases up only because of our big number testing. Mortality rate way down!!! https://t.co/bKFmgOLEGZ
26,"We broke them up last night, fast. Numerous are, and will be, in prison! https://t.co/IrCl5Uo1Cy"
27,"Hogan Gidley will be leaving the White House on July 1 and heading over to my campaign to be the National Press Secretary.  He is a strong, loyal and trusted member of the team that I know will do an outstanding job! We must WIN this election! Follow him at @JHoganGidley."
28,"....Dr. Anthony Fauci, who is with us in all ways, a very high 72% Approval Rating. So, if he is in charge along with V.P. etc., and with us doing all of these really good things, why doesn’t the Lamestream Media treat us as they should? Answer: Because they are Fake News!"
29,"We did a great job on CoronaVirus, including the very early ban on China, Ventilator production, and Testing, which is by far the most, and best, in the World. We saved millions of U.S. lives.! Yet the Fake News refuses to acknowledge this in a positive way. But they do give...."
30,"There will never be an “Autonomous Zone” in Washington, D.C., as long as I’m your President. If they try they will be met with serious force!"
31,"Cases are going up in the U.S. because we are testing far more than any other country, and ever expanding. With smaller testing we would show fewer cases!"
32,".....This action is taken effective immediately, but may also be used retroactively for destruction or vandalism already caused. There will be no exceptions!"
33,"I have authorized the Federal Government to arrest anyone who vandalizes or destroys any monument, statue or other such Federal property in the U.S. with up to 10 years in prison, per the Veteran’s Memorial Preservation Act, or such other laws that may be pertinent....."
34,"Washed up Creepster John Bolton is a lowlife who should be in jail, money seized, for disseminating, for profit, highly Classified information. Remember what they did to the young submarine sailor, but did nothing to Crooked Hillary. I ended up pardoning him - It wasn’t fair!"
35,"See, Bolton broke the law. Classified Information! https://t.co/lBWrmYxnka"
36,"Interesting guy. “Bolton is really dumb”.  True, and he broke the law! https://t.co/bP52vXukId"
37,"Numerous people arrested in D.C. for the disgraceful vandalism, in Lafayette Park, of the magnificent Statue of Andrew Jackson, in addition to the exterior defacing of St. John’s Church across the street. 10 years in prison under the Veteran’s Memorial Preservation Act. Beware!"
38,Looks what’s going on here. Where are the protesters? Was this man arrested? https://t.co/2E1UbU5vNN
39,So terrible! https://t.co/hSI9f2WW58
40,The China Trade Deal is fully intact. Hopefully they will continue to live up to the terms of the Agreement!
41,"I brought back Cars &amp; Jobs. Will do it again for Michigan, &amp; everywhere else!!! https://t.co/PbJdI5T8WK"
42,A really wonderful book. Buy it and enjoy! https://t.co/GZgicj3o3G
43,WOW! The Trump Rally gives @FoxNews the “LARGEST SATURDAY NIGHT AUDIENCE IN ITS HUSTORY”. Isn’t it amazing that virtually nobody in the Lamestream Media is reporting this rather major feat!
44,"Rather hard to believe that @FoxNews didn’t know that the Border Wall is well under construction, fully financed, &amp; already over 200 miles long? Will soon be finished! They just reported that “it is something that Dems are unlikely to budge on in this election year”.  @BretBaier"
45,"Could somebody please explain to reporter Doug Mckelway of @FoxNews that the Border Wall has long been under construction, the battle (war) is won, the Dems have FINALLY given in. In fact, I will be in Arizona tomorrow to celebrate the 212th plus mile of completion. @BretBaier"
46,PRESIDENTIAL HARASSMENT!
47,“Trump rally gives Fox News largest Saturday night audience in its history” https://t.co/XZaStbbRIp
48,"Senator Jim Inhofe (@InhofeForSenate) delivers for the State of Oklahoma! A U.S. Army veteran, he fights hard for our Military, Vets, Small Businesses, and our terrific Farmers. Jim has my Complete and Total Endorsement! #OKSEN https://t.co/PinDAlZGQF"
49,"Congressman @FrankDLucas is working hard for Oklahoma. He strongly supports our Great Farmers, Small Businesses and Vets, and he will always fight for Life and the Second Amendment. Frank has my Complete and Total Endorsement! #OK03 https://t.co/OxsgfW5OoD"
